Yachtski Score,Artist,Title
65.0,Marie & Cherie Currie,I Just Love The Feeling
65.0,Parachute,Baby You’re Just Like Me
64.75,Alain Chamfort,Let Me Try It Again
64.75,Bruce Roberts,Cool Fool
64.75,Christopher Cross,Spinning
64.75,David Roberts,Too Good To Last
64.75,Eric Tagg,In The Way
64.75,Joe English,First Love
64.75,Peter Allen,Tonight You Made My Day
64.75,Sea Level,Living In A Dream
64.75,Steely Dan,Caves of Altamira
64.75,Takako Mamiya,Love Trip
64.5,David Pack,She Don't (Come Around Anymore)
64.5,Malcolm McCallum,You Gotta Ride
64.5,Max Gronenthal,You
64.5,Nicolette Larson,Isn't It Always Love
64.5,Pages,Fearless
64.5,The Emotions,Now That I Know
64.25,Michael Gonzales,I Praise You
64.25,Sergio Mendes,Rainbow’s End
64.0,213,"Oh Me, Oh My"
64.0,Fred Knoblock,It’s Over
64.0,Merry Clayton,Emotion
64.0,Michael Jackson,Rock With You
64.0,Perry & Sanlin,With You
64.0,Rick Moranis,Downtown
64.0,White Heart,Walking In The Light
63.75,Bobby Caldwell,My Flame
63.75,Brenda Russell,Two Eyes
63.75,Donald Fagen,Tomorrow's Girls
63.75,Joey Travolta,Hurry Up And Wait
63.75,Maria Conchita Alonso,Amor de Madrugada
63.75,Nigel Olsson,A Little Bit of Soap
63.75,Robbie Dupree,Free Fallin
63.75,Sharon Cuneta,Love On Your Mind
63.75,The Faith Band,You're My Weakness
63.75,The Ritchie Family,Walk With Me
63.5,David Sanborn,Anything You Want
63.5,Jeffrey Osborne,The Other Side of The Coin
63.5,Makoto Matsushita,Lazy Night
63.5,Red Rider,Good News
63.5,Robert Chini,Doin’ It All For You
63.25,Christopher Cross,Words of Wisdom
63.25,Johnnie Taylor,I Got This Thing For Love
63.25,Lani Hall,Where's Your Angel
63.25,Madness A.K.A. Akasha,Madame Operator
63.25,Mary-Lu Zahalan,Daytime Nighttime
63.25,Ole Børud (Borud),Talk To My Lawyer
63.25,Pete Carlson,Run Inside
63.25,Young Gun Silver Fox,Kids
63.0,Boz Scaggs,A Clue
63.0,DeBarge,Stay With Me
63.0,Jimmy Messina,Money Alone
63.0,Kenny Loggins with Patti Austin,I've Got the Melody (Deep in my Heart)
63.0,Randy Crawford,We Had A Love So Strong
63.0,Steve Kipner,Knock the Walls Down
63.0,The Imperials,Stand By The Power
62.75,Aretha Franklin,What A Fool Believes
62.75,David Pack,My Baby
62.75,Jesse Colin Young,Fire On The Water
62.75,Lava Feat. Randy Crawford,You
62.75,Michael Sembello,Lay Back
62.75,Pointer Sisters,American Music
62.5,Al Jarreau,Wait A Little While
62.5,Billy Ocean,Whatever Turns You On
62.5,Bobby Caldwell,Sunny Hills
62.5,Bruce Hibbard,Never Turnin' Back
62.5,"Chunky, Novi & Ernie",Didn't Wanna Hurt Cha for Another Guy
62.5,Dane Donohue,Freedom
62.5,Dave Loggins,If I Had My Wish Tonight
62.5,Dayton,It Must Be Love
62.5,Dionne Warwick & Johnny Mathis,Got You Where I Want You
62.5,Frank Stallone,Moody Girl
62.5,Frankie Bleu,Just For You (Suzanne's Song)
62.5,Jakob Magnusson,Movies
62.5,Kim Carnes,Where Is Your Heart
62.5,Larry John McNally,Sleep On It
62.5,Lionel Richie,The Only One
62.5,Martin & Garp,Making Up
62.5,Michael Sembello,Cadillac
62.5,Rex Smith,Rock Me Slowly
62.5,Scott Gairdner,Trickin' It To The Treats
62.5,Sneaker,Did You Order One
62.25,Nayanka Bell,If You Came To Go
62.25,Pointer Sisters,Christmas In New York
62.125,Dionne Warwick,For You
62.0,Average White Band,Whatcha Gonna Do For Me
62.0,Bill Champlin,Take It Uptown
62.0,Chris Christian,Walnut Hill
62.0,Engelbert Humperdinck,You Look Good On Me
62.0,Greg Guidry,Gotta Have More Love
62.0,Hall & Oates,Kiss On My List
62.0,Larry Carlton,Where Did You Come From
62.0,Martin Nievera,Please Don't Throw My Love Away
62.0,Michael McDonald,No Lookin' Back
62.0,Orleans,Give In To It
62.0,Pablo Cruise,One More Night
62.0,Pieces,Magazine Lover
62.0,Troy Johnson,I Must Be Doing Something Right
61.75,Adrian Gurvitz,The Way I Feel
61.75,Anri,Stay By Me
61.75,Benny Sings,Nobody’s Fault
61.75,Goblin,Volo
61.75,Olav Stedje,Kjærleik
61.5,Charlie Fletcher,Icy Blue
61.5,Doobie Brothers,Losin' End
61.5,Frank Stallone,Love Is Like a Light
61.5,Michael Franks,Now That Your Joystick's Broke
61.5,Pleasure,Give It Up
61.5,Russ Taff,Tell Them
61.5,Shaun Cassidy,Lie To Me
61.5,Terence Boylan,Hey Papa
61.25,Bill Champlin,Love Is Forever
61.25,Doobie Brothers,You Never Change
61.25,Robbie Dupree,I'll Be the Fool Again
61.25,Stanley Clarke & George Duke,Sweet Baby
61.25,Steely Dan,Bad Sneakers
61.0,Bernie LaBarge,Stop the Game
61.0,"Earth, Wind & Fire",Wanna Be With You
61.0,Kevin Moore,I Intend To Love You
61.0,Lionel Richie,All Night Long (All Night)
61.0,Marilyn Scott,Only You
61.0,McGruff the Crime Dog,Alcohol
61.0,Pages,Two People
61.0,Patrick Simmons,Sue Sad
61.0,Prodigal,Easy Street
61.0,Robert Palmer,One Last Look
61.0,The Carpenters,(Want You) Back In My Life Again
61.0,Toto,Takin' It Back
61.0,Universal Togetherness Band,My Sentiment
60.75,Aretha Franklin,When You Love Me Like That
60.75,Christopher Cross,Poor Shirley
60.75,Helen Reddy,Handsome Dudes
60.75,Leon Ware,Can I Touch You There?
60.75,Paulinho Da Costa,Let’s Get Together
60.75,Pointer Sisters,Holdin' Out For Love
60.75,Sarah Dash,Leaving Again
60.75,Talc,Bobby Fame
60.75,Taste of Honey,Rescue Me
60.75,The Association,Small Town Lovers
60.75,The Doobie Brothers,Keep This Train a-Rollin'
60.75,Tycoon,Can't Take That Away
60.5,Boz Scaggs,What Can I Say
60.5,Chaseiro,Sentuhan
60.5,Chicago,Sonny Think Twice
60.5,Donna Summer,(If It) Hurts Just A Little
60.5,Doobie Brothers,Echoes of Love
60.5,Finis Henderson,Skip To My Lou
60.5,Jimmy Messina,We Got to Get Back
60.5,Johnny Mathis & Deniece Williams,Without Us
60.5,Ronnie Milsap,Where Do The Nights Go
60.5,Tycoon,Turn Out the Lights
60.25,Allman Brothers Band,Two Rights
60.25,Barbra Streisand and Barry Gibb,Guilty
60.25,Bernie LaBarge,Take This Part Of Me
60.25,Lou Rawls,Stop Me From Starting This Feeling
60.0,Ambrosia,How Much I Feel
60.0,Dave Valentin,I Got It Right This Time
60.0,Eric Tagg,Living Off The Love
60.0,Ian Thomas Band,Pilot
60.0,Kenny Loggins,It Must Be Imagination
60.0,Larsen-Feiten Band,Danger Zone
60.0,Lionel Richie,Love Will Conquer All
60.0,Nicolette Larson,Lotta Love
60.0,Nigel Olsson,If You Don’t Want Me To
60.0,The Joe Chemay Band,Proud
60.0,Zenit,Colours In My Head
59.75,Allman Brothers Band,Straight From The Heart
59.75,Boz Scaggs,Still Falling For You
59.75,Lisa Dal Bello,My Mind’s Made Up
59.75,Michael Franks,Jealousy
59.75,Philip Bailey,I Know
59.5,Average White Band,Love Gives Love Takes Away
59.5,Bill LaBounty,Nobody’s Fool
59.5,Donald Fagen,Century's End
59.5,Elton John,Give Me The Love
59.5,Jeffrey Osborne,Don't You Get So Mad
59.5,Michael Johnson,Sailing Without A Sail
59.5,Sneakers,Bellevue
59.5,Whitney Houston,Take Good Care of my Heart
59.25,Bill Medley,Heart and Soul
59.25,Bill Withers,Lovely Day
59.25,Crackin',On The Wing
59.25,Finis Henderson,Call Me
59.25,George Duke,Shine On
59.25,Jeff Lorber,It's a Fact
59.25,Jim Messina,Love Is Here
59.25,Marc Jordan,From Nowhere To This Town
59.25,Marcos Valle,Samba de Verao
59.25,Michael Jackson,P.Y.T. [Alternate] [Demo]
59.25,Ole Børud (Borud),Keep This World Alive
59.25,Patti Austin,"Oh No, Margarita"
59.25,Peabo Bryson,Give Me Your Love
59.25,Pointer Sisters,Heart to Heart
59.25,Steely Dan,Any World (That I'm Welcome To)
59.25,Thelma Houston,Standing In The Light
59.0,Al Jarreau,Moonlighting
59.0,Bobby Caldwell,To Know What You’ve Got
59.0,Boz Scaggs,Whatcha Gonna Tell Your Man
59.0,Dan Seals,Can't Get You Out Of My Mind
59.0,Dane Donohue,Whatever Happened
59.0,Diane Tell,Miami
59.0,Donald Fagen,New Frontier
59.0,O'Bryan,I'm In Love Again
59.0,Pages,Clearly Kim
59.0,Pointer Sisters,What A Surprise
59.0,Rex Smith,Don't Talk
59.0,Stephen Bishop,Save It for a Rainy Day
58.75,Bill LaBounty,I'm Hurtin'
58.75,David Crosby,She's Got To Be Somewhere
58.75,Maarit,Yhteen Kuulutaan (You Belong To Me)
58.75,PREP,As It Was
58.75,Rex Smith,Get It Right
58.75,Rui Veloso,Champanhe
58.75,The Blue Jean Committee,Catalina Breeze
58.5,Al Jarreau,Rainbow In Your Eyes
58.5,Arnold McCuller,Gringo
58.5,Billy Ocean,Rock-A-Bye Baby
58.5,Christopher Cross,Loving Strangers
58.5,"Earth, Wind & Fire",Can't Hide Love
58.5,El DeBarge,Someone
58.5,Gilles Rivard,Je Reviens
58.5,Greg Phillinganes,Signals
58.5,John Valenti,Stephanie
58.5,Kenan Salazar,Teenage Dirtbag
58.5,Lou Rawls & Desiree Goyette,Foolin' Around
58.5,Marc Jordan,Tattooed Lady
58.5,Michael Franks,All Dressed Up With Nowhere To Go
58.5,Paul Schreuder,Fly Away
58.5,Peabo Bryson,Don’t Play With Fire
58.5,Player,Baby Come Back
58.5,Sneakers,Skt Peders Engle
58.25,Airplay,She Waits for Me
58.25,Art Garfunkel,Sail On A Rainbow
58.25,Breakbot,One Out Of Two
58.25,Crackin',Don't You Wish You Could Be There?
58.25,Dave Loggins,One Way Ticket to Paradise
58.25,DeGarmo & Key,Jericho
58.25,Jon Stevens,(The One You Love Is) Here To Stay
58.25,Kenny Loggins,I Believe In Love
58.25,Kenny Rogers,"Two Hearts, One Love"
58.25,Kere Buchanan,Never Gonna Give You Up
58.25,Little Feat,Red Steamliner
58.25,Steely Dan,Gaucho
58.0,David Gates,Took The Last Train
58.0,David Pack,That Girl Is Gone
58.0,Junko Ohashi,I Love You So
58.0,Kenny Loggins,Wait a Little While
58.0,Lisa Whelchel,All Because of You
58.0,Pages,The Sailor's Song
58.0,Samuel Purdey,Valerie
58.0,Terence Boylan,Roll Your Own
57.75,Al Di Meola,I Can Tell
57.75,Christopher Cross,Someday
57.75,Kingo Hamada,Rainy Heart
57.75,Marty Butler,I Wasn't Gonna Fall in Love
57.75,Peter Allen,Fly Away
57.75,Quincy Jones w/ The Brothers Johnson,Is It Love That We're Missin'
57.75,Randy Goodrum,Savin' It Up
57.75,Robert Byrne,Pretend He's Me
57.5,Carole King,Lookin' Out For Number One
57.5,Jaye P. Morgan,Can't Hide Love
57.5,Little Feat,Gringo
57.5,Terence Boylan,Don't Hang Up Those Dancin' Shoes
57.25,Anne Murray,When I Can't Have You
57.25,Bobby Caldwell,Words
57.25,Dan Fogelberg,Power of Gold
57.25,Dane Donohue,High Life Dream
57.25,Dave Loggins,The Fool In Me
57.25,Future World Orchestra,Miracles
57.25,Kenny Loggins,If It's Not What You're Looking For
57.25,Manhattan Transfer,Spice of Life
57.25,Michel Polnareff,Radio
57.25,Mike Francis,Late Summer Night
57.25,Patrice Rushen,Breakout!
57.25,Stephen Bishop,Send A Little Love My Way
57.0,Al Jarreau,Thicke of the Night
57.0,DeBarge,Saving Up (All My Love)
57.0,Kenny Rogers,The Love We Share
57.0,Ned Doheny,Heartbreak In The Making
57.0,State Cows,New York Town
57.0,Susan Rabin,Listen To Your Dreams
56.75,Bob Welch,Don't Let Me Fail
56.75,Cilla Black,Surprise Surprise
56.75,"Earth, Wind & Fire",Back on the Road
56.75,Gino Vannelli,Living Inside Myself
56.75,Kenny Rogers,You're My Love
56.75,Rick Springfield,Don't Talk To Strangers
56.75,Ronnie Milsap,If You Don't Want Me
56.75,Sea Level,Uptown Downtown
56.75,The Isley Brothers,Baby Hold On
56.75,Toto,Good For You
56.75,Toto,I'll Be Over You
56.5,Aileen Quinn,Spread Some Love (Love Is All Around)
56.5,Airplay,Cryin’ All Night
56.5,Gilberto Gil,Palco
56.5,Jimmy Messina,New and Different Way
56.5,John Farey Group,Never Give Up
56.5,Lucio Battisti,Arrivederci a Questa Sera
56.5,Michael Franks,Your Secret's Safe With Me
56.5,Miki Matsubara,Calendrier
56.5,Powder Blue Tux,Container Zero
56.5,Teena Marie,Why Did I Fall In Love With You
56.5,The Dazz Band,Gamble With My Love
56.5,Toto,Hold the Line
56.25,Bill Labounty,Slow Fade
56.25,Christopher Cross,Arthur's Theme (Best That You Can Do)
56.25,Jay Gruska,Cancun
56.25,Joey Scarbury,Theme From The Greatest American Hero (Believe It or Not)
56.25,Narada Michael Walden,The Awakening
56.25,Steely Dan,I Can’t Write Home About You
56.25,Takako Mamiya,Tasogarewa Ginpakuno (Silver Leaf in the Twilight)
56.0,Amy Holland,So Sentimental
56.0,Christopher Cross,A Chance For Heaven (Swimming Theme)
56.0,Gimme A Break (Season 3),Nell Carter
56.0,Martine St-Clair,Ce Matin-là
56.0,Marty Butler,I’ll Cry Like A Man In Love
56.0,Max Gronenthal,Sailfish
56.0,Michael Johnson,There's a Love
56.0,Ned Doheny,What Cha' Gonna Do For Me
56.0,Pages,Listen for the Love
56.0,Paul Davis,Let Me Know If It's Over
56.0,Paul Hart,Peppermint Park
56.0,Steely Dan,Aja
56.0,Steely Dan,Any Major Dude Will Tell You
56.0,Stephen Sinclair,Meant to Be
56.0,The Itchyworms,Ayokong Tumanda
56.0,Tom Snow,I Think I Know Too Much
55.75,David Lasley,If I Had My Wish Tonight
55.75,Frank Sinatra,LA Is My Lady
55.75,Larry Wilcox,Me and My Love
55.75,Lisa Dal Bello,(Don’t Want To) Stand in Your Way
55.75,Rapallo,Play to Lose
55.75,Rene & Angela,Hotel California
55.75,Sergio Mendes,Never Gonna Let You Go
55.75,Sneaker,Don't Let Me In
55.75,The Sea World Orchestra,Doin' The Dolphin
55.5,Ace,How Long
55.5,Cheryl Lynn,Got To Be Real
55.5,Ed Motta,Flores da Vida Real
55.5,Gregg Allman Band,Cryin' Shame
55.5,Heat,Whatever It Is
55.5,Joseph Williams,Something Special
55.5,Lionel Richie,Round and Round
55.5,Luther Vandross,Bad Boy/Having A Party
55.5,Makoto Matsushita,Love Was Really Gone
55.5,Robbie Patton,Ready or Not
55.5,Sanford-Townsend Band,Nail Me to the Wall
55.5,Ted Gärdestad (Gardestad),Satellit
55.25,Marshall Tucker Band,Wait for You
55.25,Peter Allen,Angels with Dirty Faces
55.25,Steely Dan,Rikki Don't Lose That Number
55.0,Amy Holland,Here In the Light
55.0,Bread & Butter,Japanese Woman
55.0,Byrne & Barnes,I'll Try a Little Everyday For You
55.0,Carole Bayer Sager,Stronger Than Before
55.0,Chris Jasper,One Time Love
55.0,Dan Siegel,Great Expectations
55.0,Gino Vannelli,Nightwalker
55.0,Herb Alpert,I Get It From You
55.0,Orleans,Gotta Lotta Money (Big Deal)
55.0,Sherbet,You Made A Fool
55.0,Steve Perry,Foolish Heart
55.0,Zas,"Va Por Vos, Para Vos"
54.75,Brian Elliot,Room To Grow
54.75,Carole Bayer Sager,It’s The Falling In Love
54.75,Christopher Cross,Say You’ll Be Mine
54.75,Dave Mason w/ Michael Jackson,Save Me
54.75,Kool and the Gang,Too Hot
54.75,Luther Vandross,Never Too Much
54.75,Paulinho Da Costa,You Came Into My Life
54.75,Queen,Cool Cat
54.75,Richie Havens,Things Must Change
54.75,Steps,Your Burning Love
54.5,George Duke,Framed
54.5,Glen Campbell,Why Don't We Sleep On It Tonight
54.5,Pages,Let It Go
54.5,Paul Davis,Do You Believe In Love
54.5,Sarah Dash,City Boy
54.5,Smokey Robinson,Being With You
54.5,Stacy Lattisaw,It Was So Easy
54.5,Temptations,A Fine Mess
54.5,Tim & Eric,Rolo Tony
54.5,Tomoko Aran,Midnight Pretenders
54.25,Cecilio & Kapono,Climb the Line
54.25,Diana Ross,Love Will Make It Right
54.25,Eddie Rabbitt,Suspicions
54.25,Greaterkind,Rainy (feat. Lo Steele)
54.25,Hall & Oates,Time's Up (Alone Tonight)
54.25,Maxus,What You Give
54.25,Mayer Hawthorne,Back Seat Love
54.25,Minoru Koyama,Gentegie
54.25,Robson Jorge & Lincoln Olivetti,Squash
54.25,Sneakers,Gaden
54.25,Stephanie Mills,Sweet Sensation
54.25,Stephen Bishop,If Love Takes You Away
54.25,The Isley Brothers,It’s Alright With Me
54.0,Andrea Cheolas,Walk His Way
54.0,China Crisis,You Did Cut Me
54.0,David Crosby,Rodriguez For A Night
54.0,Kenny Loggins,Keep The Fire
54.0,Paul Anka,Darlin' Darlin'
54.0,Paul Davis,Cool Night
54.0,Pointer Sisters,Sweet Lover Man
54.0,Psychic Mirrors,Slow Motion Mary
54.0,The John Hall Band,The Touch
54.0,Young Gun Silver Fox,Mojo Rising
53.75,Boz Scaggs,Miss Sun
53.75,Dionne Warwick,Dedicate This Heart
53.75,Frank Weber,Take It To The Limit
53.75,Jackson Browne,Somebody’s Baby
53.75,Jakob Magnusson,Old Jack Magnet
53.75,James Sayer,Cherry
53.75,Kenny Loggins,No Lookin’ Back
53.75,Kleiton and Kledir,Nem Pensar
53.75,Lulu,"You Win, I Lose"
53.75,Ned Doheny,If You Only Knew
53.75,Toto,You Are the Flower
53.5,Alessi,You Got the Way
53.5,Balance,Hot Summer Nights
53.5,Heatwave,Find It In Your Heart
53.5,Karen Carpenter,If I Had You
53.5,Ole Børud (Borud),Make A Change
53.5,Takako Mamiya,All or Nothing
53.5,Tamarack,Carry My Blues Away
53.5,The Keane Brothers,Tryin’ To Kill A Saturday Night
53.5,Tony Sciuto,You've Got A License (To Drive Me Crazy)
53.25,Asian Blend,Maui Magic
53.25,Emm Gryner,Burn The Boats
53.25,Greg Phillinganes,Girl Talk
53.25,Imperials,Any Good Time At All
53.25,Larry Carlton,Nite Crawler
53.25,Michael McDonald,Everytime Christmas Comes Around
53.25,Rickie Lee Jones,The Real End
53.25,Toto,St. George and the Dragon
53.0,Ace,How Long
53.0,Boz Scaggs,Look What You've Done to Me
53.0,Captain & Tennille,You Never Done It Like That
53.0,Dionne Warwick & Jeffrey Osborne,Love Power
53.0,Evie Sands,Keep My Lovelight Burnin'
53.0,Gidi Gov,Nam Lo Nam
53.0,Heatwave,Gangsters of The Groove
53.0,Lulu,If I Were You
53.0,Rickie Lee Jones,Chuck E.'s In Love
53.0,Robert Kraft,I Wonder What You’re Like
53.0,Seawind,Can't Wait
53.0,Stimela,Walk Tall
53.0,Thunder,Santiago Midnight Moonlight
53.0,Toshiki Kadomatsu,Maybe It's Love Affair
52.75,Alan Sorrenti,Prima Donna
52.75,Bobby Caldwell,You Belong To Me
52.75,Christopher Cross,Minstrel Gigolo
52.75,"Chunky, Novi & Ernie",Can't Get Away From You
52.75,Doobie Brothers,Carry Me Away
52.75,Fred Parris & the Satins,Let Me Be The Last One
52.75,Kenny Loggins,Daddy’s Back
52.75,Lionel Richie,You Are
52.75,Maarit,Jäätelökesä
52.75,Maxus,Where Were You
52.75,Patrick Simmons,Why You Givin' Up
52.75,Sea Level,King Grand
52.75,Seals & Crofts,Stars
52.75,The Time,Gigolos Get Lonely Too
52.75,Valerie Carter,Ringing Doorbells in the Rain
52.75,Yacht Rocket,Boys of Winter
52.5,Christopher Cross,Every Turn of the World
52.5,Donald Fagen,Ms. Marlene
52.5,Norwegian Fords,I'll Be Dining Here Again
52.5,Pages,I Get It From You
52.5,Pieces Of A Dream,Fo-Fi-Fo
52.5,"Quincy Jones, Mark Ronson, Chaka Khan",Keep Reachin
52.5,Santiago,Berangére
52.5,Super Db,The Best In Me
52.5,Victoria Monét,Good Bye
52.25,Bill Champlin,Without You
52.25,Bliss Band,Rio
52.25,Bob James,"Angela (Theme From ""Taxi"")"
52.25,Dr. Hook,Sexy Eyes
52.25,Frank Weber,Complicated Times
52.25,Grimaldi/Zeiher,Sinbad
52.25,Randy Crawford,My Heart Is Not as Young as It Used to Be
52.25,Robert Kraft,Down In Flames
52.25,Sister Sledge,Dream On
52.0,Bill LaBounty,Mr. O
52.0,Boz Scaggs,Hard Times
52.0,Brice Street,Keepin' It Up
52.0,Donald Fagen,Security Joan
52.0,Jon Stevens,Jezebel
52.0,Junior Tucker,Take a Message (From My Body)
52.0,Keady & Vallins,It’s Alright
52.0,Kingo Hamada,Machi No Dorufin
52.0,Mild High Club,Dionysian State
52.0,Pearl & The Oysters,Side Quest
52.0,Pointer Sisters,Echoes of Love
52.0,Starbuck,Moonlight Feels Right
51.75,Captain & Tennille,Love Will Keep Us Together
51.75,"Earth, Wind & Fire",Turn It Into Something Good
51.75,Katsutoshi Morizono,Nothing Could Ever Change Your Mind
51.75,Larry Carlton,Minute By Minute
51.75,Little River Band,Reminiscing
51.75,Mylon LeFevre & Broken Heart,Child of the Father
51.75,Pablo Cruise,A Place In The Sun
51.62175,Warren G Feat. Nate Dogg,Regulate
51.5,Annika Albrite & Lotta Deez,Queen of Munchkinland
51.5,Dan Fogelberg,Missing You
51.5,"Earth, Wind & Fire",In The Stone
51.5,George Benson,Feel Like Making Love
51.5,Harvey Mason,Spell
51.5,James Taylor,Your Smiling Face
51.5,Julio Iglesias,Moonlight Lady
51.5,Miles Davis,Human Nature
51.5,Rufus & Chaka Khan,Heaven Bound
51.5,Sylvia,Snapshot
51.5,Valerie Carter,Trying To Get To Know You
51.25,Apo Hiking Society,When I Met You
51.25,Byrne & Barnes,One More Try For Love
51.25,Dionne Warwick,Deja Vu
51.25,Gino Vannelli,I Just Wanna Stop
51.25,Jess Roden,Brand New Start
51.25,Joseph Williams,Toughen Up
51.25,Neil Diamond,Heartlight
51.25,Switch,Tahiti Hut
51.0,Alan Gorrie,That Kinda Girl
51.0,Bill Champlin,Satisfaction
51.0,Carly Simon,It Keeps You Runnin'
51.0,Cheryl Lynn,Sleep Walkin’
51.0,Eye to Eye,Nice Girl
51.0,George Benson,Inside Love (So Personal)
51.0,George Benson,Love x Love
51.0,Gino Vannelli,The River Must Flow
51.0,Kenny Loggins,Loraine
51.0,Randy Crawford,Now We May Begin
51.0,Randy Crawford,Windsong
51.0,Sanford-Townsend Band,Starbrite
51.0,Terry V. Salyer,Gotta Love Somebody
51.0,Toshiki Kadomatsu,Rush Hour
51.0,Toto,Last Night
51.0,Whole Wheat,"Ice, Fire and Desire"
50.75,Average White Band,Help Is On The Way
50.75,Bronze,On the Clock
50.75,George Duke,Reach Out
50.75,Irene Cara,You Hurt Me Once
50.75,James Ingram,She Loves Me (The Best That I Can Be)
50.75,Joe Cocker,Come on In
50.75,Joey Albert,Points Of View
50.75,Larsen-Feiten Band,Over
50.75,Leon Ware,Don't Stay Away
50.75,Makoto Matsushita,First Light
50.75,Michael McDonald,Don't Let Me Down
50.75,Miki Matsubara,Binetsu Ga Heinetsu
50.75,Pages,Room At The Top
50.75,Pål Thowsen,I’ve Got The Melody
50.75,Starbuck,Fool In Line
50.75,Stevie Wonder & Dionne Warwick,It's You
50.75,Tatsuro Yamashita,Daydream
50.75,Troiano,We All Need Love
50.75,Westpoint,Joanie
50.5,Bertie Higgins,Port O’ Call
50.5,Finis Henderson,I’d Rather Be Gone
50.5,Herbie Hancock,Gettin' To The Good Part
50.5,Marc Jordan,Survival
50.5,Minnie Riperton,Island In the Sun
50.5,Peabo Bryson,Move Your Body
50.5,Robert Guillaume,Tonight It's My Party
50.5,Rupert Holmes,Him
50.5,Steely Dan,Everyone's Gone To The Movies
50.5,Steely Dan,Everything You Did
50.5,Tamir Grinberg,Into the Night (Old Score)
50.25,Ernie Watts,Chariots of Fire (Theme) (Slow Version)
50.25,Off Course,Kanashii Kurai
50.25,Philip Bailey & Phil Collins,Easy Lover (Old Score)
50.25,Pointer Sisters,Here Is Where Your Love Belongs
50.25,Pointer Sisters,I Feel For You
50.25,Randy Crawford,Don’t Come Knockin
50.25,Randy Crawford,Letter Full Of Tears
50.25,Stephen Bell-Booth,Love Came Down
50.25,Stephen Bishop,Sinking in an Ocean of Tears
50.0,Bleu McAuley & Joshua Kauffman,Song Of The Whales
50.0,Charlie Dore,Falling
50.0,Con Funk Shun,California 1
50.0,Debra Laws,Be Yourself
50.0,Eye To Eye,Falling For A Funny One
50.0,Fee Waybill,Caribbean Sunsets
50.0,Gino Vannelli,Appaloosa
50.0,Jakata,Golden Girl
50.0,JaR,Scene 29
50.0,Joe Cocker,So Good So Right
50.0,Kiki Dee,One Step
50.0,Lee Ritenour,If I'm Dreamin' (Don't Wake Me)
50.0,Logic System,Be Yourself
50.0,Marc Jordan,Lost Because You Can't Be Found
50.0,Miki Matsubara,Mayonaka no Door (Stay With Me)
50.0,Ned Doheny,To Prove My Love
50.0,Olivia Newton-John,Magic
50.0,Peter Criss,You Matter To Me
50.0,Rickie Lee Jones,Juke Box Fury
50.0,Young Gun Silver Fox,You Can Feel It
